car_model,price,year_model,kms,colour,fuel_type,location,url_car
Toyota Corolla 1.8 Se-g,84.000.000,2019,"28,000",Gris,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2249466270-toyota-corolla-_JM#position=1&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla 1.8 Xe-i,76.900.000,2019,"43,852",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2235670596-toyota-corolla-_JM#position=2&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla Xei Sedán 2.000cc Mecánica Gasolina,87.000.000,2022,"39,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397512507-toyota-corolla-xei-sedan-2000cc-mecanica-gasolina-_JM#position=3&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla Cross Hibrido,158.900.000,2024,"7,000",Blanco,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1400427627-toyota-corolla-cross-hibrido-_JM#position=4&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla 1.8 Se-g,149.000.000,2023,"15,300",Blanco,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1394186113-toyota-corolla-cross-se-g-hibrida-_JM#position=5&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla 1.8 Se-g,93.900.000,2022,"51,156",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1399587769-toyota-corolla-seg-2022-_JM#position=6&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Fj Cruiser 4.0 4x4,129.900.000,2008,"226,200",Negro,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2239047286-toyota-corolla-fj-cruiser-2008-_JM#position=7&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla 1.8 Se-g,137.900.000,2023,"25,527",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1384103639-toyota-corolla-cross-2023-_JM#position=8&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla Gasolina Seg 2020 ,85.000.000,2020,"35,000",Blanco,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1390586927-toyota-corolla-gasolina-seg-2020-_JM#position=9&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla Seg Modelo 2020 ,90.900.000,2020,"53,270",Marrón,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1399168715-toyota-corolla-seg-modelo-2020-_JM#position=10&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla Cross Seg Hv,159.900.000,2024,0,Plateado,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2232896602-toyota-corolla-cross-seg-hv-_JM#position=11&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
Toyota Corolla 1.8 Se-g,105.900.000,2022,"35,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1396762355-toyota-corolla-seg-hibrido-2022-_JM#position=12&search_layout=grid&type=item&tracking_id=6131be2b-d8de-4ec8-8dcf-3a1e67dd1c52
