car_model,price,year_model,kms,colour,fuel_type,location,url_car
Toyota Corolla Cross 2.0 Xe - I ,122.000.000,2023,"19,300",Plateado,Gasolina,Tolima,https://articulo.tucarro.com.co/MCO-1403582817-toyota-corolla-cross-20-xe-i-_JM#position=22&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross Gr,145.000.000,2023,"8,300",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2162348316-toyota-corolla-cross-gr-_JM#position=23&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross Seg Hibrida 1800cc At Aa,159.900.000,2024,500,Gris,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2284214822-toyota-corolla-cross-seg-hibrida-1800cc-at-aa-_JM#position=24&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross Se-g Hibrida 2023,144.000.000,2023,Publicado,N/A,0,Antioquia,https://articulo.tucarro.com.co/MCO-2261439524-toyota-corolla-cross-se-g-hibrida-2023-_JM#position=25&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross 2.0 Seg,146.000.000,2023,"11,800",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2279689602-toyota-corrolla-cross-seg-hybrid-full-equipo-_JM#position=26&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,140.000.000,2023,"10,642",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2261172584-toyota-corolla-cross-_JM#position=27&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Xli,45.000.000,2012,"56,460",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1406711127-toyota-corolla-2012-18-xli-_JM#position=28&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,121.000.000,2023,"19,500",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2284304228-toyota-corolla-2023-18-se-g-_JM#position=29&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Híbrido Seg Blindada 2 Plus Blindex 0kms,210.000.000,2024,10,Plateado,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2211850914-toyota-corolla-hibrido-seg-blindada-2-plus-blindex-0kms-_JM#position=30&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,158.900.000,2023,"9,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2298818524-toyota-corolla-cross-hibrido-seg-_JM#position=31&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Hev Seg,159.999.000,2024,1,Gris,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2249867758-toyota-corolla-cross-seg-hibrido-_JM#position=32&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla 1.8 Se-g,75.000.000,2019,"46,000",Blanco,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1404810185-toyota-corolla-seg-automatico-2019-_JM#position=33&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
Toyota Corolla Cross Seg Hybrid 2024,160.000.000,2024,15,Gris,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2298972312-toyota-corolla-cross-seg-hybrid-2024-_JM#position=34&search_layout=grid&type=item&tracking_id=47899880-32a2-4f0c-98a0-3c6c5213b313
