car_model,price,year_model,kms,colour,fuel_type,location,url_car
Chevrolet Onix 1.0t Automática,52.900.000,2021,"38,500",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409021891-chevrolet-onix-turbo-lt-tp-10-2021-_JM#position=1&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
Chevrolet Onix 1.4 Ltz,40.000.000,2016,"47,096",Blanco,Gasolina,Nariño,https://articulo.tucarro.com.co/MCO-2257666376-chevrolet-onix-ltz-automatico-14-_JM#position=2&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
Chevrolet Onix 1.0T Rs Mt,65.000.000,2023,"4,700",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1405115767-chevrolet-onix-2023-10t-rs-mt-_JM#position=3&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
Chevrolet Onix 1.0t Automática,69.000.000,2021,"17,310",Plateado,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2275306018-chevrolet-onix-premier-turbo-ac-10-4p-4x2-ta-_JM#position=4&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
Chevrolet Onix 1.0 Premier Turbo 2021,65.000.000,2021,"33,627",Gris,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1404317531-chevrolet-onix-10-premier-turbo-2021-_JM#position=5&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
Chevrolet Onix 1.0,71.990.000,2023,0,Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1409171115-chevrolet-onix-10-rs-_JM#position=6&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
Chevrolet Onix 1.4 Lt,48.000.000,2020,"41,921",Blanco,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-2303902204-chevrolet-onix-ltz-1384-2020-_JM#position=7&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
Chevrolet Onix Turbo Rs,85.990.000,2023,0,N/A,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1404199035-chevrolet-onix-turbo-rs-_JM#position=8&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
Chevrolet Onix 1.4 Lt,47.990.000,2020,"24,645",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409082105-chevrolet-onix-2020-_JM#position=9&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
Chevrolet Onix 1.0T Rs Mt,67.990.000,2023,"13,530",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2293683038-chevrolet-onix-rs-turbo-2023-_JM#position=10&search_layout=grid&type=item&tracking_id=b814bb9e-c30a-49c4-8bb9-30cfc234a47f
