car_model,price,year_model,kms,colour,fuel_type,location,url_car
Toyota Corolla Cross 2.0 Xei,127.000.000,2023,"25,000",Blanco,Gasolina,Tolima,https://articulo.tucarro.com.co/MCO-1402739031-toyota-corolla-cross-20-xei-_JM#position=22&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Cross Seg Hibrida,130.999.000,2022,"44,000",Azul,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1402627467-toyota-corolla-cross-seg-hibrida-_JM#position=23&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Se-g,136.900.000,2023,"14,190",Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1389852943-toyota-corolla-seg-hybrid-2023-_JM#position=24&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Se-g,114.900.000,2023,"4,644",Negro,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1383089307-toyota-corolla-seg-hibryd-2023-_JM#position=25&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Cross Seg Híbrido,161.000.000,2024,0,Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2272757994-toyota-corolla-cross-seg-hibrido-_JM#position=26&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Se-g,124.900.000,2021,"58,919",Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1399659585-toyota-corolla-seg-hybrid-2021-_JM#position=27&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla 1.8 Xei,108.000.000,2023,"13,800",Gris,Híbrido,Tolima,https://articulo.tucarro.com.co/MCO-2230697518-toyota-corolla-hibrida-xei-_JM#position=28&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Cross Hibrido 2024 Nueva 20 Km Unica Dueña,169.900.000,2024,20,Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2222460616-toyota-corolla-cross-hibrido-2024-nueva-20-km-unica-duena-_JM#position=29&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Se-G,96.000.000,2021,"48,550",Blanco,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1379685473-toyota-corolla-se-g-modelo-2021-46028-_JM#position=30&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
Toyota Corolla Se-g 2020,84.000.000,2020,"55,000",Plateado,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-2235682406-toyota-corolla-se-g-2020-_JM#position=31&search_layout=grid&type=item&tracking_id=f613b180-f9a9-45d3-b267-38e7f8e0d417
