car_model,price,year_model,kms,colour,fuel_type,location,url_car
Mazda 2 1.5 15ha1c,33.800.000,2012,"97,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405189811-mazda-2-2012-15-_JM#position=1&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,53.800.000,2017,"85,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1405054391-mazda-2-2017-15-touring-_JM#position=2&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring,61.500.000,2018,"83,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2275315558-mazda-2-2018-15-grand-touring-_JM#position=3&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring Sedan,62.500.000,2023,"24,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1400207873-mazda-2-touring-_JM#position=4&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx,67.900.000,2020,"69,000",N/A,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-2228818372-mazda-2-2020-15-grand-touring-lx-_JM#position=5&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring,60.000.000,2017,"87,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2207127806-mazda-_JM#position=6&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring,54.900.000,2016,"106,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2259860090-mazda-2-2016-15-grand-touring-_JM#position=7&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,48.000.000,2016,"119,227",Blanco,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-2257670346-mazda-2-touring-2016-_JM#position=8&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring,57.000.000,2016,"64,000",N/A,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1398118815-mazda-2-2016-15-grand-touring-_JM#position=9&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 Automovil,31.000.000,2010,"86,000",N/A,Gasolina,Bolívar,https://articulo.tucarro.com.co/MCO-2263575258-mazda-2-automovil-_JM#position=10&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,67.900.000,2022,"24,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404285389-mazda-2-2022-15-touring-_JM#position=11&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 15ha1c,54.000.000,2015,"59,000",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1403873981-mazda-_JM#position=12&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx Sedan,65.000.000,2020,"64,200",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1402405151-mazda-2-2020-15-grand-touring-lx-sedan-_JM#position=13&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx,80.500.0001% OFF,2022,"49,849",Blanco,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1400556147-mazda-2-grand-touring-2020-at-_JM#position=14&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx Sedan,68.000.000,2020,"52,000",Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1397137609-mazda-2-_JM#position=15&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 15ha1c,36.500.000,2014,"85,000",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1400421727-mazda-2-2014-15-15ha1c-_JM#position=16&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,53.500.000,2017,"69,500",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1394132797-mazda-2-touring-2017-_JM#position=17&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 2,81.000.000,2024,"1,350",N/A,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2274922784-mazda-2-2-_JM#position=18&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx,63.000.000,2018,"44,000",Blanco,Gasolina,Tolima,https://articulo.tucarro.com.co/MCO-2275420004-mazda-2-2018-15-grand-touring-lx-_JM#position=19&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring 5 p,72.000.000,2021,"42,500",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2272767230-mazda-2-grand-touring-lx-_JM#position=20&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Takeshi,42.990.000,2014,"83,000",N/A,Gasolina,Atlántico,https://articulo.tucarro.com.co/MCO-1375044881-mazda-2-2014-15-takeshi-_JM#position=21&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring 5 p,69.000.000,2019,"25,000",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2228854804-mazda-2-grand-touring-2019-25000km-como-nuevo-_JM#position=22&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,52.000.000,2017,"81,000",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2243557466-mazda-2-2017-15-touring-_JM#position=23&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring,52.500.000,2016,"91,000",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1401597553-mazda-2-grand-touring-_JM#position=24&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,55.000.000,2017,"73,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1398877373-mazda-2-_JM#position=25&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Prime Sedan,74.000.000,2020,"31,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2231157158-mazda-2-2020-_JM#position=26&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring,55.500.000,2017,"64,500",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2272382198-mazda-2-15-grand-touring-_JM#position=27&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 15hm1c,36.000.000,2013,"101,000",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1401563229-mazda-2-_JM#position=28&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx,92.050.000,2023,0,Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2168898560-mazda-2-sedan-grand-touring-lx-at-mz170-jc-_JM#position=29&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring,55.500.000,2017,"63,600",Azul,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1388897625-mazda-2-grand-touring-_JM#position=30&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,66.000.000,2020,"40,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2257763672-mazda-2-touring-_JM#position=31&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,69.500.000,2022,"27,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2219320122-mazda-2-touring-sedan-15-_JM#position=32&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring Mt 2017,53.900.000,2017,"58,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404752899-mazda-2-15-touring-mt-2017-_JM#position=33&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx Sedan,81.900.000,2022,"36,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1400657853-mazda-2-15-grand-touring-lx-automatico-modelo-2022-_JM#position=34&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,72.800.000,2022,"21,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1396758525-mazda-2-15-touring-automatico-modelo-2022-_JM#position=35&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx,69.900.000,2019,"31,400",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1388442581-mazda-2-2019-15-grand-touring-lx-_JM#position=36&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 TOURING  1500CC AT AA,70.000.000,2022,"22,900",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1404810927-mazda-2-touring-1500cc-at-aa-_JM#position=37&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,67.900.000,2022,"27,000",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1399698741-mazda-2-2022-15-touring-_JM#position=38&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Sedán Mt 2013,37.900.000,2013,"111,000",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2238999242-mazda-2-15-sedan-mt-2013-_JM#position=39&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring,60.000.000,2017,"86,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1392117737-mazda-2-2017-15-grand-touring-_JM#position=40&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx,88.000.000,2020,"24,802",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2243661468-mazda-2-grand-touring-lx-modelo-2020-blindado-_JM#position=41&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring Lx,82.900.000,2023,"4,500",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2268749498-mazda-2-2023-15-grand-touring-lx-_JM#position=42&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 Grand Touring Lx Nueva Cara,86.900.000,2024,"4,300",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1403201703-mazda-2-grand-touring-lx-nueva-cara-_JM#position=43&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring At 2016,49.900.000,2016,"107,000",Azul,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2247146008-mazda-2-15-touring-at-2016-_JM#position=44&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Mt Hatcback,29.800.000,2010,"118,000",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2212585590-mazda-2-15-mt-hatcback-_JM#position=45&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Touring,59.900.000,2017,"70,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2211767976-mazda-2-15-touring-automatico-modelo-2017-_JM#position=46&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 Prime 2020,58.900.0001% OFF,2020,"58,253",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2204820252-mazda-2-prime-2020-_JM#position=47&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1500cc At Aa,56.500.000,2019,"48,425",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1394114837-mazda-2-1500cc-at-aa-_JM#position=48&search_layout=grid&type=item&tracking_id=f22b2486-7700-461c-bbd5-b79053132984
Mazda 2 1.5 Grand Touring,64.900.000,2018,"63,705",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404737183-mazda-2-2018-15-grand-touring-_JM#position=1&search_layout=grid&type=item&tracking_id=b3eba583-f192-4eea-a779-b1093866dda1
