car_model,price,year_model,kms,colour,fuel_type,location,url_car
Chevrolet Onix 1.4 Ltz,43.000.000,2016,"47,096",Blanco,Gasolina,Nariño,https://articulo.tucarro.com.co/MCO-2257666376-chevrolet-onix-ltz-automatico-14-_JM#position=1&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 2023,60.900.000,2023,"11,911",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1398493783-chevrolet-onix-2023-_JM#position=2&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0t Mecánica,62.500.000,2021,"26,808",Rojo,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1391872625-chevrolet-onix-rs-mt-1000cc-5p-t-6ab-abs-_JM#position=3&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0T Rs Mt,69.900.000,2023,"2,323",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1387814033-chevrolet-onix-rs-turbo-cc-1000-modelo-2023-mecanico-_JM#position=4&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.4 Lt,52.000.000,2020,"41,921",Blanco,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-1398110261-chevrolet-onix-ltz-1384-2020-_JM#position=5&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0t Mecánica,58.500.000,2021,"34,000",Gris,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2240594956-chevrolet-onix-turbo-10t-mecanica-_JM#position=6&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix Turbo Rs,85.990.000,2023,0,0,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1229715753-chevrolet-onix-turbo-rs-_JM#position=7&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.4 Ltz Mecánica,42.500.000,2017,"96,711",Plateado,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2249865848-chevrolet-onix-14l-ltz-hb-mt-mcm-_JM#position=8&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 2021,53.900.000,2021,"46,000",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1398506345-chevrolet-onix-2021-_JM#position=9&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix Premier At 1.0t 2022,58.900.000,2022,"44,000",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1397979849-chevrolet-onix-premier-at-10t-2022-_JM#position=10&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix LTZ AT 1.4 2020,49.900.000,2020,"19,000",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2239069484-chevrolet-onix-ltz-at-14-2020-_JM#position=11&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0t Automática,52.000.000,2021,"51,700",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2219309520-chevrolet-onix-10-turbo-ltz-_JM#position=12&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0T Rs Mt,66.900.000,2023,"14,017",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2203074154-onix-rs-_JM#position=13&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0t Mecánica,61.000.000,2022,"11,980",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2240690444-chevrolet-onix-lt-turbo-automatico-_JM#position=14&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix Lt At 1.0 Turbo,60.900.000,2023,"1,110",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2240716858-chevrolet-onix-lt-at-10-turbo-_JM#position=15&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.4 Ltz,38.200.000,2016,"96,300",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1395842621-chevrolet-onix-ltz-tp-14-2016-_JM#position=16&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.4 Ltz Automática,43.990.000,2017,"74,800",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1395071529-chevrolet-onix-ltz-_JM#position=17&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Ónix Ltz 1.0cc Turbo Tp Aa ,55.000.000,2021,"58,000",Plateado,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-1397834243-chevrolet-onix-ltz-10cc-turbo-tp-aa-_JM#position=18&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0t Automática,59.900.000,2021,"22,000",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1394184229-chevrolet-onix-premiere-2021-_JM#position=19&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix Turbo Premier 1.0cc At Aa ,70.500.000,2023,"18,600",Plateado,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2252640620-chevrolet-onix-turbo-premier-10cc-at-aa-_JM#position=20&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0t Automática,62.900.000,2021,"22,000",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2215489144-chevrolet-onix-premiun-rien-17-spoiler-_JM#position=21&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0t Mecánica,65.000.000,2023,"23,000",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2135239314-chevrolet-onix-2023-10t-mecanica-_JM#position=22&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.4 Ltz Aut,44.000.000,2018,"59,000",Rojo,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-2249555376-chevrolet-onix-ltz-_JM#position=23&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0t Automática,69.900.000,2023,"14,800",Blanco,Gasolina,Atlántico,https://articulo.tucarro.com.co/MCO-1399737083-chevrolet-onix-premier-turbo-11-_JM#position=24&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.4 Ltz 5 p,39.900.000,2018,"76,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2249497752-chevrolet-onix-ltz-2018-_JM#position=25&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix 1.0T Rs Mt,67.000.000,2023,"1,951",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2254292910-chevrolet-onix-turbo-modelo-2023-_JM#position=26&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet Onix Premier Aut,69.990.000,2023,"20,000",0,Gasolina y gas,Antioquia,https://articulo.tucarro.com.co/MCO-1387625829-chevrolet-onix-premier-aut-_JM#position=27&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
Chevrolet   Onix   Rs,56.900.000,2021,"31,730",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1395116749-chevrolet-onix-rs-_JM#position=28&search_layout=grid&type=item&tracking_id=903596f7-a7aa-4e4a-8e34-e9a0a72d3572
