car_model,price,year_model,kms,colour,fuel_type,location,url_car
Renault Duster 2.0 Dynamique 4x4,47.700.000,2017,"81,500",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1404856421-renault-duster-20-dynamique-4x4-modelo-2017-_JM#position=22&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 1.6 Zen,66.500.000,2021,"27,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1403003061-renault-duster-zen-16-mt-27000-km-de-placa-jmm284-_JM#position=23&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Oroch Intens 4x4 1.3 Mt Blanco 2023 Placa Kxt163,102.000.000,2023,"2,400",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1399679141-renault-oroch-intens-4x4-13-mt-blanco-2023-placa-kxt163-_JM#position=24&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 1.6 Expression Mecánica,44.900.000,2015,"104,000",Negro,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2296467054-renault-duster-2015-16-expression-_JM#position=25&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 2.0 Dynamique 4x2,42.900.000,2016,"103,204",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404262655-renault-duster-dynamique-modelo-2016-_JM#position=26&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 2.0 Dynamique,54.900.000,2018,"68,200",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2211820648-renault-duster-dynamique-2018-_JM#position=27&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Dynamique 4*4 Modelo 2019 Placa Emv658,63.500.000,2019,"74,000",Dorado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2211771430-renault-duster-dynamique-44-modelo-2019-placa-emv658-_JM#position=28&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Intens 4x2,75.900.000,2022,"55,300",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1391929307-renault-duster-intens-4x2-2022-unico-dueno-_JM#position=29&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster 2.0 Dynamique 4x4 Mt,69.900.000,2018,"24,000",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1401880629-renault-duster-_JM#position=30&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
Renault Duster Intens Dakar 2018,54.800.0001% OFF,2018,"80,563",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1389616715-renault-duster-intens-dakar-2018-_JM#position=31&search_layout=grid&type=item&tracking_id=37e8d5c4-372e-4294-a5ce-a3d7a54f1812
