car_model,price,year_model,kms,colour,fuel_type,location,url_car
Chevrolet Onix 1.0t Automática,67.600.000,2023,"18,273",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397568089-chevrolet-onix-ltz-turbo-10-aut-2023-ljx960-_JM#position=1&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix 1.4,52.000.000,2019,"32,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2232968936-chevrolet-onix-14-_JM#position=2&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix 1.0t Automática,57.900.000,2021,"38,500",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1395789463-chevrolet-onix-lt-tp-10-2021-_JM#position=3&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix 1.4 Lt,49.000.000,2021,"42,000",Azul,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1400024471-chevrolet-onix-turbo-lt-2021-_JM#position=4&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix Lt 1.0,55.900.000,2021,"38,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397551627-chevrolet-onix-lt-10-_JM#position=5&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix 1.4 Ltz Aut,46.000.000,2019,"56,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2212880860-chevrolet-onix-14-ltz-aut-2019-_JM#position=6&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix 1.4 Ltz,43.000.000,2016,"47,096",Blanco,Gasolina,Nariño,https://articulo.tucarro.com.co/MCO-2203171970-chevrolet-onix-ltz-automatico-14-_JM#position=7&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix 1.0t Mecánica,58.500.000,2022,"8,200",Rojo,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2205179378-chevrolet-onix-10-aut-2022-_JM#position=8&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix 2023,60.900.000,2023,"11,911",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1398493783-chevrolet-onix-2023-_JM#position=9&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix 1.0t Mecánica,62.500.000,2021,"26,808",Rojo,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1391872625-chevrolet-onix-rs-mt-1000cc-5p-t-6ab-abs-_JM#position=10&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
N/A,0.0,0,0,N/A,https://articulo.tucarro.com.co/MCO-1387814033-chevrolet-onix-rs-turbo-cc-1000-modelo-2023-mecanico-_JM#position=11&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2,,
Chevrolet Onix 1.0t Mecánica,58.500.000,2021,"34,000",Gris,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-2240594956-chevrolet-onix-turbo-10t-mecanica-_JM#position=12&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
Chevrolet Onix Turbo Rs,85.990.0002% OFF,2023,0,0,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1229715753-chevrolet-onix-turbo-rs-_JM#position=13&search_layout=grid&type=item&tracking_id=ea286c40-7c09-4cda-887d-5ab5f7804bc2
