car_model,price,year_model,kms,colour,fuel_type,location,url_car
Chevrolet Onix 1.4 Ltz,44.000.000,2020,"52,874",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2228213318-chevrolet-onix-14-ltz-_JM#position=35&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.0t Automática,62.900.000,2023,"11,600",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2110157322-chevrolet-onix-2023-10t-automatica-_JM#position=36&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.0T Rs Mt,67.900.000,2023,"9,800",Plateado,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1404205245-chevrolet-onix-2023-10t-rs-mt-_JM#position=37&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.0T Rs Mt,75.000.000,2023,"18,900",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2236801898-chevrolet-onix-premier-_JM#position=38&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.4 Ltz Aut,55.000.000,2021,"62,500",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1388444989-chevrolet-onix-2021-14-ltz-aut-_JM#position=39&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.4 Ltz Aut,45.900.000,2019,"74,600",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2239007168-chevrolet-onix-2019-14-ltz-aut-_JM#position=40&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.0t Automática,58.700.000,2022,"21,040",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1402804733-chevrolet-onix-2022-10t-automatica-_JM#position=41&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.0t Mecánica,66.900.000,2023,"7,356",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1402377745-chevrolet-onix-2023-_JM#position=42&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.4 Ltz 5 p,50.500.000,2018,"98,000",Gris,Gasolina,Meta,https://articulo.tucarro.com.co/MCO-1395167923-chevrolet-onix-14-active-2018-_JM#position=43&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.0T Rs Mt,67.500.000,2023,"13,571",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1393750807-chevrolet-onix-2023-_JM#position=44&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.4 Ltz,45.990.000,2019,"45,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1399717289-chevrolet-onix-active-2019-_JM#position=45&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
Chevrolet Onix 1.0t Automática,58.500.000,2023,"29,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1399167255-chevrolet-onix-2023-10t-automatica-_JM#position=46&search_layout=grid&type=item&tracking_id=2b7feca2-1078-4f03-a8f1-c3fd1a5fc435
