car_model,price,year_model,kms,colour,fuel_type,location,url_car
Renault Duster 1.3 Intense Mt 4x4,102.000.000,2023,"13,681",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1393699763-renault-duster-intens-mt-13-_JM#position=1&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 2.0 Dynamique 4x2,43.500.000,2014,"75,800",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1390917521-renault-duster-_JM#position=2&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster Tripadvisor ,64.000.000,2018,"37,353",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1401588147-renault-duster-tripadvisor-_JM#position=3&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 1.3 Intens 4x4,79.900.000,2022,"47,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2207879952-renault-duster-13-intens-4x4-2022-_JM#position=4&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 2.0 DYNAMIQUE 2013,39.000.000,2013,"136,769",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397559911-renault-duster-20-dynamique-2013-_JM#position=5&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 2.0 Dynamique 4x4,57.500.000,2020,"113,000",Blanco,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2212913184-renault-duster-20-dynamiqueintense-_JM#position=6&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
N/A,0.0,0,0,N/A,https://articulo.tucarro.com.co/MCO-1396334615-renault-duster-20-dynamic-_JM#position=7&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2,,
Renault Duster 1.3 T Iconic Mt 4X2,96.000.000,2023,"19,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1391026785-renault-duster-_JM#position=8&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster Oroch 1.3  Cargo ,97.000.000,2023,"1,900",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1400860165-renault-duster-oroch-13-cargo-_JM#position=9&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
N/A,0.0,0,0,N/A,https://articulo.tucarro.com.co/MCO-1396289879-renault-duster-dynamique-20-4x4-_JM#position=10&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2,,
Renault Duster 2.0 Dynamique,45.000.000,2015,"158,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1391462785-renault-duster-dynamique-2015-_JM#position=11&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster Intens FE,90.000.000,2024,"31,000",Blanco,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397524543-renault-duster-intens-fe-_JM#position=12&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 1.6 Intense,87.900.000,2023,"30,000",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1391458841-renault-duster-intens-2023-_JM#position=13&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 1.6 Expression Mecánica,45.000.000,2017,"115,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397527927-renault-duster-16-expression-_JM#position=14&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 2.0 Dynamique,57.500.000,2020,"107,000",Dorado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2252997872-renault-duster-_JM#position=15&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 1.6 Dynamique,60.000.000,2021,"204,114",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1400106463-renault-duster-_JM#position=16&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 1.6 Intense,79.000.000,2023,"14,800",Gris,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2241464198-renault-duster-16-intens-_JM#position=17&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster Oroch 2.0 Intens,69.000.000,2020,"72,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2240418684-renault-duster-oroch-_JM#position=18&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 1.3 Intens,82.900.000,2022,"36,547",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1398768837-renault-duster-13-intens-2022-_JM#position=19&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 2.0 Dynamique 4x4,56.500.000,2019,"115,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1392158929-renault-duster-dynamique-_JM#position=20&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 1.6 Expression Mecánica,39.900.000,2015,"189,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2207906684-renault-duster-expression-mt-16-_JM#position=21&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 1.6 Expression Mecánica,49.000.000,2016,"108,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2235681858-renault-duster-expression-4x2-_JM#position=22&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
Renault Duster 2.0 Dynamique 4x2,57.000.000,2017,"61,500",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2217404054-renault-duster-dynamique-20-4x2-_JM#position=23&search_layout=grid&type=item&tracking_id=7f857554-5dce-4177-86fd-484c2d83a1d2
