car_model,price,year_model,kms,colour,fuel_type,location,url_car
Mazda 2 GRAND TOURING LX 1.5 AUT,67.300.000,2019,"32,995",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2243504394-mazda-all-new-2-grand-touring-lx-15-aut-2019-fpq559-_JM#position=1&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
Mazda 2 GRAND TOURING LX 1.5 AUT,71.800.000,2020,"35,705",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1406327423-mazda-all-new-2-grand-touring-lx-15-aut-2020-gpr878-_JM#position=2&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
Mazda 2 Sedan Grand Touring Lx  New!,92.050.000,2024,0,Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2200901456-mazda-2-sedan-grand-touring-lx-new-_JM#position=3&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
Mazda 2 1.5 Grand Touring Lx,78.000.000,2021,"21,109",Rojo,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-2300547740-mazda-2-grand-touring-lx-1021-_JM#position=4&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
Mazda 2 1500cc Mt Aa,64.000.000,2020,"19,000",Blanco,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2303930894-mazda-2-1500cc-mt-aa-_JM#position=5&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
Mazda 2 Touring,66.900.000,2020,"50,496",Azul,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2311690314-mazda-2-hatchback-46448-_JM#position=6&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
Mazda 2 1.5 Grand Touring,54.990.000,2017,"86,121",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2294019174-mazda-2-grand-tourng-2017-_JM#position=7&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
Mazda 2 GRAND TOURING HATCHBACK,75.990.000,2023,"16,429",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1407207865-mazda-2-grand-touring-hatchback-2023-_JM#position=8&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
Mazda 2 1.5 Prime,56.900.000,2020,"53,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2284258118-mazda-2-2020-15-prime-_JM#position=9&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
Mazda 2 Grand Touring MT,61.900.0006% OFF,2019,"67,785",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2279878702-mazda-2-grand-touring-2019-_JM#position=10&search_layout=grid&type=item&tracking_id=07c51877-c7ff-431c-aba6-0c6ec410324b
