car_model,price,year_model,kms,colour,fuel_type,location,url_car
Chevrolet Onix 1.0t Mecánica,48.990.000,2021,"48,000",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2230612020-chevrolet-onix-lt-_JM#position=20&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.0t Mecánica,59.900.000,2021,"19,500",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1390619123-chevrolet-onix-sedan-2021-_JM#position=21&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.4 Active,48.000.000,2019,"71,300",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1411259737-chevrolet-onix-active-14-_JM#position=22&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.0t Mecánica,57.900.000,2021,"48,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2209202522-chevrolet-onix-turbo-2021-_JM#position=23&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.0T Rs Mt,63.800.000,2023,"18,800",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2251063682-chevrolet-onix-2023-10t-rs-mt-_JM#position=24&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix RS 1.0T Mecánica,55.500.000,2021,"44,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2205159042-chevrolet-onix-rs-10t-mecanica-_JM#position=25&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix Rs 1.0T,59.900.000,2023,"23,350",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2140909882-chevrolet-onix-rs-mecanico-2023-_JM#position=26&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.4 Ltz 5 p,53.500.000,2020,"62,000",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1410270135-chevrolet-onix-2020-14-ltz-5-p-_JM#position=27&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.4 Ltz Aut,44.900.000,2019,"87,900",N/A,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2264706734-chevrolet-onix-2019-14-ltz-aut-_JM#position=28&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.0T Rs Mt,59.990.000,2022,"28,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1395723745-chevrolet-onix-2022-10t-rs-mt-_JM#position=29&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.4 Ltz,44.000.000,2020,"52,874",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2228213318-chevrolet-onix-14-ltz-_JM#position=30&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.0T Rs Mt,67.900.000,2023,"11,000",Plateado,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2305698290-chevrolet-onix-2023-10t-rs-mt-_JM#position=31&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.4 Ltz Automática,42.900.000,2017,"63,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409137547-chevrolet-onix-2017-14-ltz-automatica-_JM#position=32&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.4 Ltz Aut,45.500.000,2019,"71,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1407686167-chevrolet-onix-2019-14-ltz-aut-_JM#position=33&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.0T Rs Mt,75.000.000,2023,"18,900",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2236801898-chevrolet-onix-premier-_JM#position=34&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
Chevrolet Onix 1.4 Ltz Aut,55.000.000,2021,"62,500",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1388444989-chevrolet-onix-2021-14-ltz-aut-_JM#position=35&search_layout=grid&type=item&tracking_id=7a51f4d1-2b87-432e-a84e-ef9c3d2a1d77
