car_model,price,year_model,kms,colour,fuel_type,location,url_car
Mazda 2 1.5 15hmp,28.000.000,2008,"178,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2288559090-mazda-2-2008-15-15hmp-_JM#position=1&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
Mazda 2 1.5 Grand Touring,54.000.000,2016,"87,000",Blanco,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2316191614-mazda-2-hb-grand-touring-automatico-2016-_JM#position=2&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
Mazda 2 1.5 Grand Touring Lx Sedan,68.000.000,2020,"52,000",Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2316117174-mazda-2-_JM#position=3&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
Mazda 2 1.5 Grand Touring Lx,73.900.000,2021,"38,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2316755424-mazda-2-2021-15-grand-touring-lx-_JM#position=4&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
Mazda 2 1.5 Touring,51.990.000,2017,"80,000",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1411067161-mazda-2-2017-15-touring-_JM#position=5&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
Mazda 2 Automovil,31.000.000,2010,"86,000",N/A,Gasolina,Bolívar,https://articulo.tucarro.com.co/MCO-2263575258-mazda-2-automovil-_JM#position=6&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
Mazda 2 GRAND TOURING LX SEDAN,67.930.000,2020,"42,861",Azul,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2311125614-mazda-2-grand-touring-lx-sedan-2020-60770-_JM#position=7&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
Mazda 2 1.5 Grand Touring Sedan,63.900.000,2020,"79,000",N/A,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1408730955-mazda-2-2020-15-grand-touring-sedan-_JM#position=8&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
Mazda 2. Hatchback. Automatico 2009,28.300.000,2009,"112,934",Verde,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1407317011-mazda-2-hatchback-automatico-2009-_JM#position=9&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
Mazda 2 1.5 Grand Touring Lx,70.800.000,2020,"50,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1405265919-mazda-2-2020-15-grand-touring-lx-_JM#position=10&search_layout=grid&type=item&tracking_id=7c6f3b2f-54cf-463d-8b71-3a2da9760374
