car_model,price,year_model,kms,colour,fuel_type,location,url_car
Renault Duster Tripadvisor ,64.000.000,2018,"37,353",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1401588147-renault-duster-tripadvisor-_JM#position=1&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
Renault Duster 1.3 Intens 4x4,79.900.000,2022,"47,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2267189530-renault-duster-13-intens-4x4-2022-_JM#position=2&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
Renault Duster 2.0 DYNAMIQUE 2013,39.000.000,2013,"136,769",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2300465506-renault-duster-20-dynamique-2013-_JM#position=3&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
Renault Duster 2.0 Dynamique 4x4,57.500.000,2020,"113,000",Blanco,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2272769354-renault-duster-20-dynamiqueintense-_JM#position=4&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
Renault Duster 2.0 Dynamique 4x2,45.000.000,2015,"111,352",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1407682543-renault-duster-20-dynamic-_JM#position=5&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
Renault Duster Oroch 1.3  Cargo ,97.000.000,2023,"1,900",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1400860165-renault-duster-oroch-13-cargo-_JM#position=6&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
Renault Duster 2.0 Dynamique,45.000.000,2015,"163,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1403648433-renault-duster-dynamique-2015-_JM#position=7&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
Renault Duster 1.6 Intense,87.900.000,2023,"30,000",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1404727263-renault-duster-intens-2023-_JM#position=8&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
Renault Duster 1.6 Expression Mecánica,44.000.000,2017,"115,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2303906924-renault-duster-16-expression-_JM#position=9&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
Renault Duster Dynamique,44.000.000,2015,"179,452",Blanco,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1404822283-renault-duster-dynamique-2015-_JM#position=10&search_layout=grid&type=item&tracking_id=3bd49fbd-b199-43c1-b3f7-202932815eb5
