car_model,price,year_model,kms,colour,fuel_type,location,url_car
Chevrolet Onix 1.0t Automática,66.900.000,2023,"13,595",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1410022021-chevrolet-onix-ltz-turbo-10-aut-2023-lit472-_JM#position=1&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Automática,60.000.000,2021,"23,001",Negro,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2251042954-chevrolet-onix-lt-turbo-10-aut-2021-jmw901-_JM#position=2&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.4,48.000.000,2019,"32,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1409851815-chevrolet-onix-14-_JM#position=3&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.4 Ltz Aut,49.500.000,2020,"19,369",Rojo,Gasolina,Meta,https://articulo.tucarro.com.co/MCO-2264037936-chevrolet-onix-ltz-14-aut-5p-2020-jpl554-_JM#position=4&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0T Rs Mt,59.600.000,2022,"30,056",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1410207989-chevrolet-onix-rs-turbo-10-5p-2022-kwq018-_JM#position=5&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Automática,52.900.000,2021,"38,500",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1412033191-chevrolet-onix-turbo-lt-tp-10-2021-_JM#position=6&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.4 Ltz Aut,47.000.000,2019,"56,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2320139778-chevrolet-onix-14-ltz-aut-2019-_JM#position=7&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.4 Ltz Automática,39.990.000,2017,"79,000",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2315281914-chevrolet-onix-ltz-_JM#position=8&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Mecánica,60.500.000,2021,"42,925",Plateado,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1411319505-chevrolet-onix-lt-turbo-ac-10-4p-4x2-tm-_JM#position=9&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Automática,72.200.000,2023,"23,501",Gris,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1409619749-chevrolet-onix-2-ltz-tp-1000cc-ap-6ab-abs-_JM#position=10&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Automática,69.000.000,2021,"17,310",Plateado,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2275306018-chevrolet-onix-premier-turbo-ac-10-4p-4x2-ta-_JM#position=11&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0 Premier Turbo 2021,65.000.000,2021,"33,627",Gris,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1404317531-chevrolet-onix-10-premier-turbo-2021-_JM#position=12&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.4 Lt,48.000.000,2020,"41,921",Blanco,Gasolina,Boyaca,https://articulo.tucarro.com.co/MCO-2303902204-chevrolet-onix-ltz-1384-2020-_JM#position=13&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Mecánica,58.500.000,2021,"34,000",Gris,Gasolina,Norte De Santander,https://articulo.tucarro.com.co/MCO-1410590585-chevrolet-onix-turbo-10t-mecanica-_JM#position=14&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix Turbo Rs,84.990.000,2023,0,N/A,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1404199035-chevrolet-onix-turbo-rs-_JM#position=15&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix Ltz At 1.0 2022,58.900.000,2022,"29,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1411538515-chevrolet-onix-ltz-at-10-2022-_JM#position=16&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Mecánica,53.900.000,2021,"26,700",Plateado,Gasolina y gas,Antioquia,https://articulo.tucarro.com.co/MCO-1412006827-chevrolet-onix-lt-mt-10-2021-_JM#position=17&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Automática,58.900.000,2022,"44,000",Rojo,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409810685-chevrolet-onix-premier-at-_JM#position=18&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.4 Ltz,48.900.000,2020,"42,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409820425-chevrolet-onix-ltz-at-2020-_JM#position=19&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.4 Lt,47.990.000,2020,"24,645",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409082105-chevrolet-onix-2020-_JM#position=20&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0T Rs Mt,67.990.000,2023,"13,530",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2293683038-chevrolet-onix-rs-turbo-2023-_JM#position=21&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.4 Ltz,38.400.000,2016,"49,000",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2267166902-chevrolet-onix-hb-ltz-mt-1400-_JM#position=22&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Mecánica,58.900.000,2022,"11,980",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2305542908-chevrolet-onix-lt-turbo-automatico-_JM#position=23&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.4 Ltz,48.900.000,2020,"45,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2308728540-chevrolet-onix-ltz-at-14-2020-_JM#position=24&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
Chevrolet Onix 1.0t Automática,58.900.000,2022,"25,000",Blanco,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1409907775-chevrolet-onix-ltz-at-10-2022-_JM#position=25&search_layout=grid&type=item&tracking_id=41892165-f82f-43a3-8a18-04c8d6c82375
