car_model,price,year_model,kms,colour,fuel_type,location,url_car
Suzuki Swift Hibrido 2024 Sin Pico Y Placa ,78.500.000,2024,0,Azul,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381665205-suzuki-swift-hibrido-2024-sin-pico-y-placa-_JM#position=1&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki New Swift  Hibrido 0kms Modelo 2024,78.500.000,2023,0,Azul,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381677939-suzuki-new-swift-hibrido-0kms-modelo-2024-_JM#position=2&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift Hibrido 2024 Entrega Inmediata ,78.569.000,2023,0,Azul,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381665091-suzuki-swift-hibrido-2024-entrega-inmediata-_JM#position=3&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire Aut Full Equipo 100% Financiamiento,48.990.000,2022,"34,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2246866672-suzuki-swift-12-dzire-aut-full-equipo-100-financiamiento-_JM#position=4&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift Drize At 1.2 2023 ,52.900.000,2023,"21,000",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2241432916-suzuki-swift-drize-at-12-2023-_JM#position=5&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift Dzire AT 1.2 2023,52.900.000,2023,"23,000",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1395966499-suzuki-swift-dzire-at-12-2023-_JM#position=6&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift Drize At 1.2 2022,48.900.000,2022,"24,000",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2224484466-suzuki-swift-drize-at-12-2022-_JM#position=7&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift Drize Mt 1.2 2023,49.900.000,2023,"4,323",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2224436164-suzuki-swift-drize-mt-12-2023-_JM#position=8&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire Ga,51.000.000,2023,"15,500",Dorado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1394343513-suzuki-new-swift-2023-_JM#position=9&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
N/A,0.0,0,0,N/A,https://articulo.tucarro.com.co/MCO-2215477912-suzuki-swift-dzire-12-_JM#position=10&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe,,
Suzuki Swift Hybrid Mt 1.25 2023,69.900.000,2023,"20,000",Azul,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-2206689720-suzuki-swift-hybrid-mt-125-2023-_JM#position=11&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire,62.710.000,2023,0,Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1387797623-suzuki-dzire-_JM#position=12&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki  New Swift Hibrido Mt Sin Pico Y Placa ,78.570.000,2022,0,Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2154095752-suzuki-new-swift-hibrido-mt-sin-pico-y-placa-_JM#position=13&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift Hibrido Mt 100% Japonés 2024,78.570.000,2022,0,Gris,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381602399-suzuki-swift-hibrido-mt-100-japones-2024-_JM#position=14&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki New Swift Híbrido Mt Sin Pico/placa 2024,78.570.000,2022,0,Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381627877-suzuki-new-swift-hibrido-mt-sin-picoplaca-2024-_JM#position=15&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift Hibrido  2024 Sin Pico Y Placa ,78.500.000,2022,0,Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381602447-suzuki-swift-hibrido-2024-sin-pico-y-placa-_JM#position=16&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire,59.500.000,2023,0,Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381627771-suzuki-swift-dzire-gl-sedan-espacio-diseno-economia-_JM#position=17&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 AT,39.000.000,2016,"80,506",Plateado,Gasolina,Risaralda,https://articulo.tucarro.com.co/MCO-1399202159-suzuki-swift-12-at-2016-_JM#position=18&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire,50.900.000,2023,"22,000",Gris,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-1393569727-suzuki-swift-dzire-12-_JM#position=19&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire,54.900.000,2023,"23,905",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2240595926-suzuki-swift-dzire-mt-_JM#position=20&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift DZIRE,49.900.000,2023,"20,700",Blanco,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1397889589-suzuki-swift-_JM#position=21&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Híbrido ,62.000.000,2022,"37,700",0,Híbrido,Cundinamarca,https://articulo.tucarro.com.co/MCO-1398169479-suzuki-swift-12-hibrido-_JM#position=22&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.4 Gl,44.000.000,2016,"43,000",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1399756231-suzuki-swift-_JM#position=23&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift Hibrido 1.250cc M/t C/a 2022 ,62.900.000,2022,"29,000",Gris,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2240644828-suzuki-swift-hibrido-1250cc-mt-ca-2022-_JM#position=24&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swfit Hibrido,63.900.000,2022,"33,770",Plateado,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1395120279-suzuki-swfit-hibrido-_JM#position=25&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift Dzire AT 1.2 2023,53.900.000,2023,"2,937",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1398780617-suzuki-swift-dzire-at-12-2023-_JM#position=26&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift DZIRE GL 1.2,51.300.000,2023,"17,055",Gris,Gasolina,Cundinamarca,https://articulo.tucarro.com.co/MCO-2239032628-suzuki-new-swift-dzire-gl-12-2023-lfr762-_JM#position=27&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire,49.900.000,2023,"17,500",0,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2221525662-suzuki-swift-2023-12-dzire-_JM#position=28&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire,52.500.000,2023,"8,900",0,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1384442745-suzuki-swift-2023-12-dzire-_JM#position=29&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire,59.500.000,2023,0,Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381678167-suzuki-swift-sedan-gl-mt-renovado-diseno-espacio-sedan-_JM#position=30&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Gl,69.900.000,2023,"10,000",Negro,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1398648991-suzuki-swift-12-hybrid-_JM#position=31&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Dzire,46.499.000,2022,"18,900",0,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1393119041-suzuki-swift-2022-12-dzire-_JM#position=32&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
Suzuki Swift 1.2 Gl,74.000.000,2023,"5,500",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1395641183-suzuki-swift-hibrido-_JM#position=33&search_layout=grid&type=item&tracking_id=883b0644-df01-4fdf-9391-6df20923bcfe
