car_model,price,year_model,kms,colour,fuel_type,location,url_car
Susuki Swift Dzire,46.900.000,2022,"33,800",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1407674559-susuky-swift-dzire-automatic-2022-_JM#position=22&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,51.800.000,2023,"10,900",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1403019025-suzuki-swift-2023-12-dzire-_JM#position=23&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift Híbrido,69.900.000,2022,"28,000",Gris,Híbrido,Santander,https://articulo.tucarro.com.co/MCO-1401228365-suzuki-swift-hibrido-_JM#position=24&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Gl,64.900.000,2022,"13,000",N/A,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1408469517-suzuki-swift-2022-12-gl-_JM#position=25&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,38.000.000,2017,"82,800",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1403580297-suzuki-swift-dzire-mt-12-_JM#position=26&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,46.499.000,2022,"18,900",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405674149-suzuki-swift-2022-12-dzire-_JM#position=27&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire Ga,49.900.000,2022,"76,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2251089126-suzuki-swift-dzire-tam-modelo-2023-automatico-18mil-kilomet-_JM#position=28&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Gl,73.000.000,2023,"6,000",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2288649618-suzuki-swift-hibrido-_JM#position=29&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.4cc Aut 2014 Full,35.900.000,2014,"110,000",N/A,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-2242220028-suzuki-swift-14cc-aut-2014-full-_JM#position=30&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,35.000.000,2015,"73,500",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1401588025-susuki-swift-dzire-mod-2015-73500-kms-1200cc-full-equipo-_JM#position=31&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift Híbrido 2023,71.500.000,2023,"11,000",Azul,Híbrido,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2243499906-suzuki-swift-hibrido-2023-_JM#position=32&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki New Swift Gl  1200cc Mt Aa,42.000.000,2019,"71,000",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1407637759-suzuki-new-swift-gl-1200cc-mt-aa-_JM#position=33&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,46.000.000,2022,"25,000",Plateado,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-2249318464-susuki-swift-_JM#position=34&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift Live 1.2l,35.000.000,2016,"82,000",N/A,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2270291858-suzuki-swift-2016-live-12l-_JM#position=35&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire Aut,53.900.000,2023,"18,000",N/A,Gasolina,Valle Del Cauca,https://articulo.tucarro.com.co/MCO-1388690719-suzuki-swift-12-dzire-aut-_JM#position=36&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
Suzuki Swift 1.2 Dzire,49.500.000,2023,"28,000",Gris,Gasolina,Antioquia,https://articulo.tucarro.com.co/MCO-1406031807-suzuki-swift-dzire-tam-modelo-2023-_JM#position=37&search_layout=grid&type=item&tracking_id=4a2bda9c-a611-4578-a58d-f94104bbeabf
