car_model,price,year_model,kms,colour,fuel_type,location,url_car
Suzuki Swift SWIFT DZIRE AUT,54.900.000,2023,"30,714",Plateado,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2281992502-suzuki-swift-dzire-aut-_JM#position=1&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
Suzuki Swift 1.2 Dzire Mt Full Equipo 100% Financiacion,48.990.000,2023,"25,350",Plateado,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2318829686-suzuki-swift-12-dzire-mt-full-equipo-100-financiacion-_JM#position=2&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
Suzuki Swift SWIFT DZIRE AUT,54.900.000,2023,"28,736",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405943413-suzuki-swift-dzire-aut-_JM#position=3&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
Suzuki Swift SWIFT DZIRE AUT,54.900.000,2023,"27,237",Gris,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-2281966434-suzuki-swift-dzire-aut-_JM#position=4&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
Suzuki Swift  1200cc Mt Aa,58.000.000,2021,"19,000",Rojo,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1410782787-suzuki-swift-1200cc-mt-aa-_JM#position=5&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
Suzuki Swift Hibrido Mt  Precio Exclusivo ,78.500.000,2024,0,Azul,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1381627995-suzuki-swift-hibrido-mt-precio-exclusivo-_JM#position=6&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
Suzuki Swift SWIFT DZIRE AUT,54.900.000,2023,"27,571",Gris,Gasolina y gas,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405966483-suzuki-swift-dzire-aut-_JM#position=7&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
Suzuki Swift 1.2 Dzire,52.900.000,2023,"33,698",Gris,Gasolina,Bogotá D.C.,https://articulo.tucarro.com.co/MCO-1405539787-suzuki-swift-dzire-12-mt-2023-_JM#position=8&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
Suzuki Swift Hybrid 1.3 Mec Fwd 2022 198,64.000.000,2022,"25,000",Gris,Híbrido,Risaralda,https://articulo.tucarro.com.co/MCO-1402807221-suzuki-swift-hybrid-13-mec-fwd-2022-198-_JM#position=9&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
Suzuki Swift Hibrido,79.070.000,2024,0,Blanco,Híbrido,Antioquia,https://articulo.tucarro.com.co/MCO-1387759097-suzuki-swift-hibrido-_JM#position=10&search_layout=grid&type=item&tracking_id=e3c6c967-45b9-41af-b475-e0e511966b6f
